数据日期,DB_TIME,DB_TPS,DB_QPS
2017/1/25,10.57,246.49,10880.29
2017/1/25,0.72,58.83,457.65
2017/1/25,5.3,43.1,348.45
2017/1/26,9.11,217.97,9350.43
2017/1/26,0.69,53.44,417.61
2017/1/26,2.28,42.65,373.76
2017/1/27,4.79,141.32,5410.51
2017/1/27,0.42,29.14,240.12
2017/1/27,0.16,7.84,67.24
2017/1/28,3.4,81.9,3270.17
2017/1/28,0.31,15.14,136.68
2017/1/28,0.11,4.06,38.27
2017/1/29,3.29,80.56,3147.11
2017/1/29,0.31,15.71,140.61
2017/1/29,0.13,3.63,35.29
2017/1/30,3.14,88.89,3463.08
2017/1/30,0.31,16.78,149.01
2017/1/30,0.11,4.21,38.81
2017/1/31,3.37,96.94,3781.29
2017/1/31,0.33,18.76,163.52
2017/1/31,0.12,5.14,45.73
2017/2/1,3.83,115.05,4655.87
2017/2/1,0.34,20.54,177.83
2017/2/1,0.17,6.7,57.96
2017/2/2,4.4,130.19,5342.13
2017/2/2,0.37,24.54,208
2017/2/2,0.18,9.56,79.58
2017/2/3,7.23,179.04,8283.75
2017/2/3,0.45,35.01,281
2017/2/3,1.52,33.83,280.86
2017/2/4,8.33,187.63,8788.62
2017/2/4,0.47,34.27,275.51
2017/2/4,0.73,23.96,191.17
2017/2/5,7.33,175.54,7777.69
2017/2/5,0.45,32.48,265.71
2017/2/5,0.26,13.11,104.5
2017/2/6,9.47,216.79,10602.27
2017/2/6,0.5,37.91,300.1
2017/2/6,1.23,35.16,290.93
2017/2/7,9.37,215.05,10685.13
2017/2/7,0.5,36.7,291.45
2017/2/7,2.4,38.74,336.17
2017/2/8,9.78,219.88,10739.86
2017/2/8,0.5,35.48,281.11
2017/2/8,1,30.79,279.32
2017/2/9,9.63,219.78,10861
2017/2/9,0.5,36.42,288.52
2017/2/9,1.09,35.61,310.83
2017/2/10,10.36,226.49,11069.78
2017/2/10,0.53,38.77,305.88
2017/2/10,1.02,33.7,276.23
2017/2/11,7.66,166.2,7859.9
2017/2/11,0.46,32.94,267.01
2017/2/11,0.34,19.7,156.77
2017/2/12,7.41,161.69,7680.44
2017/2/12,0.46,33.83,274.75
2017/2/12,0.4,15.32,122.22
2017/2/13,9.07,200.94,10495.54
2017/2/13,0.54,40.08,315.22
2017/2/13,1.17,41.86,337.13
2017/2/14,9.08,195.52,10090.46
2017/2/14,0.52,37.25,298.48
2017/2/14,1.22,38.15,326.17
2017/2/15,8.87,193.37,10282.72
2017/2/15,0.53,39.8,314.12
2017/2/15,1.08,35.97,301.59
2017/2/16,8.96,190.64,10135.92
2017/2/16,1.16,33.45,293.22
2017/2/16,0.53,39.92,316.02
2017/2/17,8.82,186.68,9716.4
2017/2/17,0.53,39.72,311.35
2017/2/17,0.9,37.07,297.49
2017/2/18,7.28,164.16,7473.49
2017/2/18,0.48,35.79,286.92
